224.,2010-12-12 00:19:11,122.03,100%,Quality humor doesn't just deliver one gag and then tax the ...,No win (2 of 3)
223.,2010-11-13 17:14:40,124.80,100%,There was a stage and a PA up in western Massachusetts and t...,Win (1 of 4)
222.,2010-11-13 17:14:02,107.54,100%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",No win (2 of 3)
221.,2010-11-13 17:13:37,119.35,100%,I'd just like to point out that you were given every opportu...,No win (2 of 3)
220.,2010-11-03 02:30:21,98.83,100%,There's sometimes a buggy. How many drivers does a buggy hav...,Win (1 of 4)
219.,2010-11-03 02:29:36,128.53,100%,Come sail your ships around me and burn your bridges down. W...,Win (1 of 2)
218.,2010-11-03 02:28:48,99.59,100%,You could choke a dozen donkeys on that! And you're haggling...,Win (1 of 4)
217.,2010-11-03 02:28:04,122.81,100%,"You just couldn't let me go, could you? This is what happens...",Win (1 of 3)
216.,2010-11-03 02:27:02,117.86,100%,"I rejected those answers; instead, I chose something differe...",Win (1 of 3)
215.,2010-10-31 15:51:54,130.50,100%,Groups of illegal miners smuggle themselves down in freight ...,Win (1 of 5)
214.,2010-10-31 15:51:20,99.15,100%,Even the best-designed chair won't make up for bad posture. ...,Win (1 of 2)
213.,2010-10-31 15:50:39,104.97,100%,In order to face down the danger that is stalking us and mov...,Win (1 of 3)
212.,2010-10-28 03:50:55,123.82,100%,Involuntarily I glanced seaward - and distinguished nothing ...,Win (1 of 3)
211.,2010-10-28 03:50:15,103.99,100%,You could choke a dozen donkeys on that! And you're haggling...,Win (1 of 5)
210.,2010-10-28 03:49:31,108.65,100%,"However, let us leave aside the philosophical, social, and e...",No win (3 of 4)
209.,2010-10-22 20:36:34,107.78,100%,The beginner writes just twenty pieces. The professional wri...,No win (3 of 5)
208.,2010-10-22 20:35:46,130.32,100%,"""This man right here,"" McGuinness said, pointing at Kenna, ""...",Win (1 of 2)
207.,2010-10-22 20:34:58,128.39,100%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 5)
206.,2010-10-22 20:34:32,135.70,100%,"I've heard there was a secret chord that David played, and i...",Win (1 of 5)
205.,2010-10-22 20:33:57,121.74,100%,"Double, double, toil and trouble; fire burn, and cauldron bu...",No win (2 of 3)
204.,2010-10-22 20:33:13,134.64,100%,"I'm so glad you came, I'm so glad you remembered, the walkin...",Win (1 of 4)
203.,2010-10-22 20:32:41,116.04,100%,"When I really worry about something, I don't just fool aroun...",Win (1 of 3)
202.,2010-10-22 20:32:05,120.40,100%,Well I woke in mid-afternoon cause that's when it all hurts ...,Win (1 of 2)
201.,2010-10-22 20:31:26,100.38,100%,"Around midafternoon, the snow thinned into sleet, and some u...",Win (1 of 3)
200.,2010-10-22 20:30:47,138.69,100%,"It was a marvelous night, the sort of night one only experie...",Win (1 of 4)
199.,2010-10-22 20:30:13,116.14,100%,The truth of the matter is that there are a lot of available...,No win (2 of 3)
198.,2010-10-22 20:29:35,110.88,100%,"But suddenly, I viddied that thinking was for the gloopy one...",No win (2 of 4)
197.,2010-10-22 20:28:52,110.19,100%,"Milt, with the excellent timing of a master comedy writer, w...",No win (3 of 5)
196.,2010-10-22 20:28:10,135.68,100%,Yet the web of thought has no such creases and is more like ...,Win (1 of 4)
195.,2010-10-22 20:27:26,135.17,100%,In order to face down the danger that is stalking us and mov...,Win (1 of 3)
194.,2010-10-22 20:26:39,108.87,100%,"What about Tony? You know, Bullet Tooth Tony. He'll find you...",Win (1 of 4)
193.,2010-10-22 20:26:04,110.89,100%,"As the netted bag says, this potato was grown in Idaho, that...",No win (1 of 1)
192.,2010-10-22 20:25:16,126.27,100%,"Because they're at the bottom of the scale, nerds are a safe...",Win (1 of 2)
191.,2010-10-22 20:24:33,116.04,100%,"After removal from the oven, the pizza is sliced and plated ...",No win (1 of 1)
190.,2010-10-22 20:23:38,87.80,100%,"If you are given too many choices, if you are forced to cons...",No win (2 of 3)
189.,2010-10-22 20:22:46,113.74,100%,Don't make assumptions - find the courage to ask questions a...,No win (2 of 4)
188.,2010-10-22 02:47:22,134.33,100%,"Right, I am going to tell you how this works. You're going i...",Win (1 of 4)
187.,2010-10-22 02:46:30,100.59,100%,"All Ninja are men of peace, and must always remain so or los...",No win (2 of 3)
186.,2010-10-22 02:45:34,122.06,100%,Images of broken light which dance before me like a million ...,Win (1 of 3)
185.,2010-10-22 02:44:53,131.29,100%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 4)
184.,2010-10-22 02:43:59,111.82,100%,"I had a dream. There was our world, and the world was dark b...",No win (2 of 3)
183.,2010-10-22 02:43:05,107.45,100%,Too often writers believe that they can emphasize words by p...,Win (1 of 2)
182.,2010-10-22 02:41:20,109.72,100%,Commas and periods always go inside quotation marks. Colons ...,Win (1 of 3)
181.,2010-10-22 02:40:28,129.24,100%,From compositional considerations the tomato layer would be ...,Win (1 of 2)
180.,2010-10-22 02:39:53,147.93,100%,The most precious treasures we have in life are the images w...,Win (1 of 4)
179.,2010-10-22 02:39:01,139.62,100%,"I did my best, it wasn't much. I couldn't feel, so I tried t...",Win (1 of 5)
178.,2010-10-22 02:37:18,94.24,100%,Even the best-designed chair won't make up for bad posture. ...,No win (3 of 3)
177.,2010-10-21 18:24:49,109.62,100%,The development of a living body of literature became indica...,Win (1 of 4)
176.,2010-10-21 17:17:24,125.59,100%,A giant inverted steel pyramid is perfectly balanced on its ...,No win (3 of 3)
175.,2010-10-21 17:16:43,124.93,100%,"However, let us leave aside the philosophical, social, and e...",Win (1 of 2)
174.,2010-10-21 17:15:49,132.87,100%,"Whenever you watch the mind, you withdraw consciousness from...",No win (2 of 2)
173.,2010-10-21 17:15:08,123.25,100%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",Win (1 of 3)
172.,2010-10-21 17:14:45,118.42,100%,"And though my journeys did take me to a great many states, a...",No win (2 of 2)
171.,2010-10-21 17:14:03,143.00,100%,The place to improve the world is first in one's own heart a...,Win (1 of 2)
170.,2010-10-21 17:13:25,112.93,100%,"A long time ago, I was in Burma, my friends and I were worki...",No win (2 of 3)
169.,2010-10-21 17:12:20,132.82,100%,"This planet has, or rather had, a problem, which was this: m...",Win (1 of 3)
168.,2010-10-21 17:11:29,118.86,100%,From compositional considerations the tomato layer would be ...,No win (2 of 2)
